Test Case	Category	plcsharp	plfsharp	plv8	plpython	plpgsql	pljava	plperl	pllua	pltcl	plr
sumArrayInt	Array	1.131262	1.077235	1.795778	1.020844	0.799907	1.102946	1.282443	1.357123	1.170492	1.584171
sumArrayText	Array	1.258769	1.308071	2.303422	1.203983	1.002837	2.071228	1.348833	1.561661	1.425025	2.091695
returnBool	Bool	0.587954	0.580197	1.152346	0.639126	0.549859	0.752981	0.629666	0.91389	0.721518	1.099587
booleanAnd	Bool	0.772131	0.800282	1.474882	0.836742	0.752126	0.955237	0.840836	1.150172	1.155445	1.457395
booleanOr	Bool	0.785868	0.815884	1.386629	0.823625	0.738069	0.969359	0.843641	1.1314	1.152976	1.449346
booleanXor	Bool	0.780493	0.794381	1.475467	0.851004	0.762261	0.947073	0.894614	1.124772	1.261475	1.543064
retVarChar	Char	0.829495	0.807107	1.492294	0.827635	0.718093	1.345859	0.765233	1.039269	0.919982	1.540182
retConcatVarChar	Char	0.831657	0.813876	1.591701	0.892572	0.730677	1.411166	0.820853	1.065867	0.97057	1.598117
retConcatText	Char	0.817842	0.851362	1.598098	0.921305	0.738396	1.41167	0.791508	1.052161	0.983633	1.627596
retVarCharText	Char	0.815275	0.83498	1.581765	0.901664	0.723888	1.401841	0.812896	1.054922	0.985434	1.648582
retChar	Char	0.749271	0.765169	1.441142	0.802346	0.656191	1.288172	0.719315	0.965721	0.839211	1.183304
retConcatLetters	Char	0.801032	0.784947	1.50366	0.809321	0.716389	1.388409	0.815378	1.035861	0.96216	1.589992
retConcatChars	Char	0.800492	0.810509	1.518482	0.839282	0.708639	1.352286	0.7696	1.02225	0.973134	1.576267
retConcatVarChars-1	Char	0.776782	0.79165	1.527038	0.881956	0.74128	1.350698	0.784406	1.019009	0.955857	1.557199
retConcatVarChars-2	Char	0.809206	0.819299	1.613159	0.911317	0.717356	1.392443	0.804171	1.087963	0.976922	1.556452
retNonRegularEncoding-1	Char	0.763111	0.783055	1.531379	0.850998	0.68492	1.324851	0.76939	1.027787	0.865882	1.185362
retNonRegularEncoding-2	Char	0.768072	0.786769	1.523458	0.89379	0.665105	1.32647	0.760706	1.082115	0.904138	1.212129
retNonRegularEncoding-3	Char	0.761205	0.790244	1.472549	0.864783	0.685148	1.281265	0.745167	1.014563	0.870123	1.211558
